id	cateId	name	detail	assetURL
63	3	Biển số P.413a "Đường có làn đường dành cho ô tô khách"	Để chỉ dẫn khu vực được phép quay đầu xe , phải đặt biển số 410 "Khu vực quay xe". Trên biển mô tả cách thức tiến hành quay xe. Biển không cho phép rẽ trái (trừ các xe được quyền ưu tiên theo quy định).	assets/images/boards/413a.jpg
64	3	Biển số P.413b "Đường có làn đường dành cho ô tô khách"	Để chỉ dẫn cho người lái xe biết ở nơi đường giao nhau rẽ phải là rẽ ra đường có làn đường dành cho ôtô khách	assets/images/boards/413b.jpg
65	3	Biển số P.413c "Đường có làn đường dành cho ô tô khách"	Để chỉ dẫn cho người lái xe biết ở nơi đường giao nhau rẽ trái là rẽ ra đường có làn đường dành cho ôtô khách	assets/images/boards/413c.jpg
66	4	Biển số P.201a "Chỗ ngoặt nguy hiểm vòng bên trái"	Báo trước sắp đến một chỗ ngoặt nguy hiểm phía bên trái	assets/images/boards/201a.jpg
67	4	Biển số P.201b "chỗ ngoặt nguy hiểm vòng bên phải"	Báo trước sắp đến một chỗ ngoặt nguy hiểm phía bên phải	assets/images/boards/201b.jpg
68	4	Biển số P.202a "Nhiều chỗ ngoặt nguy hiểm liên tiếp"	Báo trước sắp đến nhiều chỗ ngoặt nguy hiểm liên tiếp trong đó chỗ ngoặt đầu tiên hướng vòng bên trái	assets/images/boards/202a.jpg
69	4	Biển số P.202b "Nhiều chỗ ngoặt nguy hiểm liên tiếp"	Báo trước sắp đến nhiều chỗ ngoặt nguy hiểm liên tiếp trong đó chỗ ngoặt đầu tiên hướng vòng bên phải	assets/images/boards/202b.jpg
70	4	Biển số P.203a "Đường bị hẹp cả hai bên"	Báo trước sắp đến một đoạn đường bị hẹp đột ngột cả hai bên	assets/images/boards/203a.jpg
71	4	Biển số P.203b "Đường bị hẹp về phía trái"	Báo trước sắp đến một đoạn đường bị hẹp đột ngột phía bên trái	assets/images/boards/203b.jpg
72	4	Biển số P.203c "Đường bị hẹp về phía phải"	Báo trước sắp đến một đoạn đường bị hẹp đột ngột phía bên phải	assets/images/boards/203c.jpg
73	4	Biển số P.204 "Đường hai chiều"	Báo trước sắp đến đoạn đường hai chiều	assets/images/boards/204.jpg
74	4	Biển số P.205a "Đường giao nhau cùng cấp"	Báo trước sắp đến nơi giao nhau cùng mức của các tuyến đường cùng cấp (không có đường nào ưu tiên)  trên cùng một mặt bằng	assets/images/boards/205a.jpg
75	4	Biển số P.205b "Đường giao nhau cùng cấp"	Báo trước sắp đến nơi giao nhau cùng mức của các tuyến đường cùng cấp (không có đường nào ưu tiên)  trên cùng một mặt bằng	assets/images/boards/205b.jpg
76	4	Biển số P.205c "Đường giao nhau cùng cấp"	Báo trước sắp đến nơi giao nhau cùng mức của các tuyến đường cùng cấp (không có đường nào ưu tiên)  trên cùng một mặt bằng	assets/images/boards/205c.jpg
77	4	Biển số P.206 "Giao nhau chạy theo vòng xuyến"	Báo trước nơi giao nhau có bố trí đảo an toàn ở giữa nút giao.	assets/images/boards/206.jpg
78	4	Biển số P.207a "Giao nhau với đường không ưu tiên"	Báo trước sắp đến nơi giao nhau với đường không ưu tiên	assets/images/boards/207a.jpg
79	4	Biển số P.207b "Giao nhau với đường không ưu tiên"	Báo trước sắp đến nơi giao nhau với đường không ưu tiên	assets/images/boards/207b.jpg
80	4	Biển số P.208 "Giao nhau với đường ưu tiên"	Để báo trước sắp đến nơi giao nhau với đường ưu tiên	assets/images/boards/208.jpg
81	4	Biển số P.209 "Giao nhau có tín hiệu đèn"	Báo trước nơi giao nhau có điều khiển giao thông bằng tín hiệu đèn.	assets/images/boards/209.jpg
82	4	Biển số P.210 " Giao nhau với đường sắt có rào chắn"	Báo trước sắp đến nơi giao nhau với đường không ưu tiên	assets/images/boards/210.jpg
83	5	Biển số P.501 "Phạm vi tác dụng của biển"	Để thông báo chiều dài đoạn đường nguy hiểm hoặc cấm hoặc hạn chế bên dưới một số biển báo nguy hiểm, biển báo cấm hoặc hạn chế	assets/images/boards/501.jpg
84	5	Biển số P.502 "Khoảng cách đến đối tượng báo hiệu"	Bên dưới các loại biển báo nguy hiểm, biển báo cấm, biển hiệu lệnh và chỉ dẫn, thông báo khoảng cách thực tế từ vị trí đặt biển đến đối tượng báo hiệu ở phía trước.	assets/images/boards/502.jpg
85	5	Biển số P.503a "Hướng tác dụng của biển"	Đặt bên dưới các biển báo cấm, biển hiệu lệnh để chỉ hướng tác dụng của biển là hướng vuông góc với chiều đi.	assets/images/boards/503a.jpg
86	5	Biển số P.503b "Hướng tác dụng của biển"	Đặt bên dưới các biển báo cấm, biển hiệu lệnh để chỉ hướng tác dụng của biển là hướng vuông góc với chiều đi.	assets/images/boards/503b.jpg
87	5	Biển số P.503c "Hướng tác dụng của biển"	Đặt bên dưới các biển báo cấm, biển hiệu lệnh để chỉ hướng tác dụng của biển là hướng vuông góc với chiều đi.	assets/images/boards/503c.jpg
88	5	Biển số P.504 "Làn đường"	Đặt bên trên làn đường và dưới các biển báo cấm và biển hiệu lệnh hay bên dưới đèn tín hiệu để chỉ làn đường chịu hiệu lực của biển báo hay đèn tín hiệu.	assets/images/boards/504.jpg
89	5	Biển số P.505a "Loại xe"	Đặt bên dưới các biển báo cấm và biển hiệu lệnh hay biển chỉ dẫn để chỉ loại xe chịu hiệu lực của biển báo cấm, biển hiệu lệnh hay biển chỉ dẫn. 	assets/images/boards/505a.jpg
90	5	Biển số P.505b "Loại xe hạn chế qua cầu"	Đặt bên dưới biển báo số 106a “Cấm ôtô tải” để chỉ các loại xe tải chịu hiệu lực của biển báo và trọng lượng lớn nhất cho phép	assets/images/boards/505b.jpg
91	5	Biển số P.505c "Tải trọng trục hạn chế qua cầu"	Đặt bên dưới biển báo số 106a “Cấm ôtô tải” để chỉ các loại xe tải có tải  trọng  trục  lớn nhất cho phép tương ứng với mỗi loại  trục	assets/images/boards/505c.jpg
92	5	Biển số P.506a "Hướng đường ưu tiên""	Đặt bên dưới biển chỉ dẫn số 401 trên đường ưu tiên để chỉ dẫn cho người lái xe trên đường này biết hướng đường ưu tiên ở ngã tư.	assets/images/boards/506a.jpg
93	5	Biển số P.506b "Hướng đường ưu tiên""	Đặt bên dưới biển số 208 và biển số 122 trên đường không ưu tiên để chỉ dẫn cho người lái xe trên đường này biết hướng đường ưu tiên ở ngã tư.	assets/images/boards/506b.jpg
94	5	Biển số P.507 "Hướng rẽ"	Được sử dụng độc lập để báo trước cho người tham gia giao thông biết chuẩn bị đến chỗ rẽ nguy hiểm và để chỉ hướng rẽ.	assets/images/boards/507.jpg
95	5	Biển số P.508a "Biểu thị thời gian"	Được đặt dưới biển báo cấm hoặc biển hiệu lệnh nhằm quy định phạm vi thời gian hiệu lực của các biển báo cấm, biển hiệu lệnh cho phù hợp yêu cầu.	assets/images/boards/508a.jpg
96	5	Biển số P.508b "Biểu thị thời gian"	Được đặt dưới biển báo cấm hoặc biển hiệu lệnh nhằm quy định phạm vi thời gian hiệu lực của các biển báo cấm, biển hiệu lệnh cho phù hợp yêu cầu.	assets/images/boards/508b.jpg
97	5	Biển số P.509a "Thuyết minh biển chính"	Để bổ sung cho biển số 239 "Đường cáp điện ở phía trên", phải đặt biển số 509a "Chiều cao an toàn" bên dưới biển số 239, biển này chỉ rõ chiều cao cho các phương tiện đi qua an toàn.	assets/images/boards/509a.jpg
98	5	Biển số P.509b "Thuyết minh biển chính"	Để bổ sung cho biển số 130 "Cấm dừng, đỗ xe", biển số 131 (a,b,c) "Cấm đỗ xe", phải đặt thêm biển số 509b "Cấm đỗ xe" bên dưới biển số 130, 131 (a,b,c)	assets/images/boards/509b.jpg
